DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-10-17 02:10:27,99,1377,0,135.974,57.05,688.5,5,3442.5,0,0,7.464,128.754
2025-10-17 02:10:29,99,1872,0,131.106,47.726,936,5,4680,0,0,1.183,125.615
2025-10-17 02:10:31,99,1215,0,161.702,62.507,607.5,5,3037.5,0,0,1.373,155.543
2025-10-17 02:10:33,99,849,0,218.76,89.73,424.5,5,2122.5,0,0,2.927,210.218
2025-10-17 02:10:35,99,748,0,275.877,184.877,374,5,1870,0,0,3.524,267.218
2025-10-17 02:10:37,99,1211,0,161.799,72.613,605.5,5,3027.5,0,0,1.083,155.672
2025-10-17 02:10:39,99,1360,0,148.697,65.294,680,5,3400,0,0,0.951,141.719
2025-10-17 02:10:41,99,1618,0,120.811,62.447,809,5,4045,0,0,0.769,115.672
2025-10-17 02:10:44,99,1049,0,140.441,60.785,524.5,5,2622.5,0,0,0.953,135.52
2025-10-17 02:10:46,99,1900,0,132.709,71.103,950,5,4750,0,0,1.034,126.304
2025-10-17 02:10:48,99,1825,0,109.338,54.833,912.5,5,4562.5,0,0,0.655,105.499
2025-10-17 02:10:50,99,1675,0,113.236,78.739,837.5,5,4187.5,0,0,0.691,108.792
2025-10-17 02:10:52,99,1288,0,156.668,97.249,644,5,3220,0,0,1.153,149.603
2025-10-17 02:10:54,99,1536,0,126.357,90.03,768,5,3840,0,0,0.971,120.29
2025-10-17 02:10:56,99,1458,0,139.657,88.873,729,5,3645,0,0,1.145,133.453
2025-10-17 02:10:58,99,2004,0,97.009,50.693,1002,5,5010,0,0,0.577,92.292
2025-10-17 02:11:00,99,1863,0,107.193,60.467,931.5,5,4657.5,0,0,0.601,102.695
2025-10-17 02:11:02,99,2085,0,95.611,51.005,1042.5,5,5212.5,0,0,0.502,91.095
2025-10-17 02:11:04,99,1731,0,113.014,59.459,865.5,5,4327.5,0,0,0.762,107.91
2025-10-17 02:11:06,99,1732,0,115.183,71.967,866,5,4330,0,0,0.67,110.111
2025-10-17 02:11:08,99,1958,0,101.078,48.399,979,5,4895,0,0,0.516,97.065
2025-10-17 02:11:10,99,1917,0,102.683,47.767,958.5,5,4792.5,0,0,0.526,98.684
2025-10-17 02:11:12,99,1994,0,99.318,43.181,997,5,4985,0,0,0.509,95.308
2025-10-17 02:11:14,99,1806,0,108.035,59.527,903,5,4515,0,0,0.693,103.562
2025-10-17 02:11:16,99,1911,0,107.584,48.968,955.5,5,4777.5,0,0,0.655,100.998
2025-10-17 02:11:18,99,1958,0,100.702,46,979,5,4895,0,0,0.551,96.702
2025-10-17 02:11:20,99,2159,0,91.319,45.541,1079.5,5,5397.5,0,0,0.486,87.628
2025-10-17 02:11:22,99,2034,0,96.105,59.895,1017,5,5085,0,0,0.506,91.832
